book_id,category_id
1,8
2,6
3,7
4,5
5,3
6,9
7,10
8,1
9,4
10,2
11,2
12,8
13,4
14,1
15,5
16,10
17,7
18,9
19,6
20,3
21,6
22,10
23,9
24,8
25,5
26,7
27,6
28,9
29,2
30,1
31,5
32,3
33,10
34,4
35,8
36,4
37,10
38,6
39,5
40,8
41,7
42,1
43,2
44,3
45,9
46,3
47,5
48,9
49,1
50,8
51,10
52,2
53,8
54,9
55,6
56,1
57,7
58,3
59,4
60,5
61,7
62,3
63,8
64,10
65,1
66,9
67,5
68,2
69,4
70,6
71,9
72,4
73,10
74,7
75,2
76,2
77,3
78,4
79,10
80,8
81,9
82,7
83,6
84,1
85,5
86,5
87,10
88,4
89,9
90,6
91,3
92,8
93,7
94,2
95,1
96,10
97,3
98,7
99,4
100,8
101,4
102,7
103,3
104,5
105,8
106,1
107,9
108,10
109,6
110,2
111,4
112,1
113,9
114,6
115,8
116,10
117,3
118,5
119,2
120,7
121,4
122,3
123,10
124,6
125,1
126,3
127,8
128,10
129,4
130,2
131,5
132,9
133,6
134,7
135,1
136,8
137,7
138,3
139,4
140,5
141,10
142,1
143,9
144,6
145,2
146,4
147,9
148,3
149,8
150,5
151,1
152,7
153,2
154,10
155,6
156,3
157,4
158,8
159,5
160,9
161,4
162,6
163,5
164,3
165,7
166,10
167,8
168,9
169,2
170,1
171,2
172,8
173,4
174,7
175,6
176,2
177,10
178,7
179,4
180,9
181,3
182,1
183,6
184,8
185,5
186,6
187,1
188,9
189,2
190,4
191,5
192,8
193,3
194,10
195,7
196,7
197,2
198,1
199,4
200,9
1,4
2,10
3,7
4,5
5,8
6,9
7,2
8,6
9,3
10,1
11,3
12,8
13,10
14,4
15,2
16,5
17,9
18,7
19,1
20,6
21,8
22,4
23,3
24,6
25,2
26,1
27,6
28,3
29,7
30,9
31,4
32,10
33,2
34,5
35,8
36,10
37,4
38,9
39,5
40,3
41,1
42,7
43,8
44,2
45,6
46,6
47,2
48,3
49,8
50,9
51,3
52,2
53,7
54,6
55,10
56,1
57,4
58,9
59,5
60,8
61,10
62,2
63,6
64,7
65,3
66,9
67,1
68,4
69,8
70,5
71,10
72,4
73,7
74,2
75,9
76,6
77,1
78,9
79,7
80,10
81,8
82,2
83,4
84,3
85,5
86,4
87,3
88,2
89,9
90,10
91,5
92,1
93,7
94,8
95,6
96,7
97,6
98,2
99,3
100,4
101,3
102,1
103,8
104,10
105,5
106,2
107,4
108,9
109,7
110,6
111,9
112,8
113,3
114,5
115,2
116,7
117,6
118,10
119,4
120,1
121,4
122,2
123,7
124,6
125,10
126,7
127,6
128,8
129,1
130,10
131,3
132,9
133,5
134,4
135,2
136,8
137,2
138,5
139,1
140,9
141,4
142,6
143,7
144,3
145,10
146,1
147,10
148,7
149,8
150,4
151,1
152,7
153,3
154,4
155,5
156,8
157,10
158,9
159,6
160,2
161,5
162,9
163,1
164,4
165,6
166,3
167,7
168,8
169,10
170,2
171,1
172,10
173,8
174,2
175,5
176,6
177,7
178,2
179,8
180,5
181,4
182,10
183,3
184,9
185,1
186,6
187,7
188,4
189,1
190,9
191,8
192,3
193,2
194,10
195,5
196,5
197,10
198,9
199,2
200,1
1,5
2,1
3,6
4,4
5,10
6,3
7,7
8,8
9,9
10,2
11,7
12,5
13,10
14,6
15,9
16,1
17,4
18,3
19,8
20,2
21,3
22,10
23,6
24,2
25,1
26,9
27,2
28,10
29,3
30,5
31,6
32,8
33,4
34,7
35,1
36,2
37,1
38,9
39,3
40,8
41,4
42,6
43,7
44,10
45,5
46,5
47,4
48,10
49,8
50,2
51,9
52,7
53,6
54,5
55,8
56,2
57,10
58,4
59,3
60,1
61,6
62,3
63,1
64,5
65,9
66,4
67,2
68,8
69,10
70,7
71,5
72,1
73,7
74,4
75,10
76,4
77,10
78,6
79,3
80,5
81,2
82,8
83,1
84,7
85,9
86,7
87,3
88,2
89,9
90,1
91,5
92,10
93,6
94,4
95,8
96,5
97,7
98,10
99,1
100,8
