book_id,author_id
1,1
2,4
3,3
4,9
5,6
6,5
7,2
8,8
9,7
10,10
11,10
12,3
13,5
14,8
15,7
16,6
17,4
18,1
19,9
20,2
21,10
22,3
23,7
24,2
25,9
26,9
27,10
28,4
29,1
30,8
31,6
32,3
33,7
34,5
35,2
36,8
37,10
38,3
39,6
40,4
41,9
42,7
43,5
44,1
45,2
46,8
47,7
48,2
49,10
50,4
51,8
52,9
53,6
54,3
55,5
56,10
57,4
58,1
59,2
60,7
61,5
62,7
63,10
64,1
65,9
66,3
67,6
68,8
69,2
70,4
71,3
72,7
73,6
74,9
75,10
76,7
77,1
78,10
79,8
80,2
81,9
82,4
83,6
84,5
85,3
86,5
87,4
88,6
89,7
90,1
91,9
92,2
93,3
94,8
95,10
96,6
97,8
98,2
99,4
100,7
101,6
102,4
103,10
104,5
105,3
106,2
107,8
108,7
109,9
110,1
111,1
112,10
113,8
114,5
115,9
116,6
117,7
118,4
119,3
120,2
121,6
122,3
123,9
124,4
125,10
126,8
127,2
128,5
129,9
130,7
131,3
132,4
133,10
134,1
135,6
136,5
137,2
138,8
139,1
140,10
141,7
142,4
143,6
144,3
145,9
146,5
147,10
148,4
149,1
150,8
151,6
152,3
153,8
154,10
155,2
156,1
157,7
158,5
159,4
160,9
161,8
162,3
163,10
164,6
165,7
166,4
167,9
168,2
169,1
170,5
171,8
172,3
173,10
174,4
175,1
176,4
177,1
178,9
179,5
180,2
181,8
182,3
183,10
184,7
185,6
186,4
187,7
188,10
189,6
190,3
191,1
192,2
193,8
194,9
195,5
196,4
197,9
198,7
199,5
200,6
1,2
2,8
3,9
4,7
5,6
6,4
7,1
8,10
9,3
10,5
11,7
12,4
13,10
14,1
15,5
16,3
17,6
18,8
19,9
20,2
21,10
22,7
23,5
24,1
25,9
26,9
27,7
28,6
29,8
30,1
31,2
32,5
33,10
34,3
35,4
36,2
37,9
38,8
39,10
40,4
41,3
42,5
43,6
44,7
45,1
46,4
47,1
48,5
49,3
50,9
51,7
52,5
53,6
54,9
55,1
56,3
57,8
58,2
59,10
60,4
61,6
62,7
63,10
64,3
65,1
66,4
67,2
68,8
69,9
70,5
71,5
72,10
73,8
74,2
75,6
76,2
77,3
78,5
79,4
80,8
81,7
82,10
83,6
84,1
85,9
86,8
87,10
88,2
89,4
90,1
91,3
92,7
93,5
94,6
95,9
96,1
97,3
98,6
99,5
100,8
101,10
102,4
103,7
104,6
105,8
106,9
107,3
108,5
109,2
110,1
111,8
112,9
113,10
114,7
115,6
116,1
117,2
118,4
119,5
120,3
121,4
122,1
123,2
124,5
125,7
126,8
127,5
128,1
129,2
130,4
131,10
132,3
133,7
134,9
135,6
136,8
137,10
138,7
139,3
140,5
141,1
142,9
143,6
144,2
145,4
146,2
147,10
148,7
149,3
150,4
151,7
152,6
153,10
154,4
155,8
156,5
157,2
158,9
159,3
160,1
161,7
162,9
163,4
164,1
165,8
166,3
167,2
168,10
169,5
170,6
171,10
172,6
173,9
174,5
175,2
176,3
177,5
178,9
179,4
180,8
181,1
182,7
183,6
184,2
185,10
186,5
187,10
188,3
189,7
190,2
191,6
192,9
193,1
194,4
195,8
196,6
197,10
198,4
199,3
200,2
1,1
2,8
3,7
4,10
5,4
6,5
7,3
8,6
9,2
10,9
11,2
12,9
13,6
14,5
15,7
16,10
17,4
18,1
19,3
20,8
21,5
22,6
23,2
24,9
25,3
26,8
27,9
28,5
29,10
30,4
31,7
32,1
33,3
34,6
35,2
36,8
37,5
38,1
39,6
40,2
41,10
42,4
43,3
44,9
45,7
46,7
47,10
48,2
49,3
50,5
51,5
52,10
53,4
54,8
55,2
56,1
57,6
58,3
59,9
60,7
61,6
62,2
63,10
64,1
65,3
66,7
67,4
68,9
69,5
70,8
71,9
72,10
73,5
74,4
75,3
76,7
77,10
78,9
79,5
80,2
81,8
82,4
83,3
84,6
85,1
86,2
87,4
88,1
89,9
90,8
91,5
92,7
93,6
94,10
95,3
96,2
97,5
98,10
99,8
100,3
