book_id,keyword_id
1,9
2,4
3,6
4,10
5,1
6,2
7,3
8,5
9,8
10,7
11,2
12,4
13,10
14,8
15,1
16,5
17,6
18,3
19,9
20,7
21,5
22,3
23,10
24,1
25,4
26,3
27,4
28,2
29,9
30,5
31,1
32,10
33,6
34,8
35,7
36,8
37,10
38,3
39,4
40,5
41,1
42,6
43,9
44,2
45,7
46,1
47,10
48,8
49,3
50,7
51,1
52,7
53,3
54,5
55,4
56,2
57,9
58,10
59,6
60,8
61,4
62,9
63,1
64,5
65,8
66,10
67,6
68,7
69,3
70,2
71,6
72,9
73,2
74,4
75,8
76,6
77,3
78,5
79,2
80,7
81,4
82,10
83,1
84,9
85,8
86,4
87,9
88,3
89,2
90,8
91,7
92,6
93,1
94,5
95,10
96,7
97,5
98,9
99,4
100,2
101,10
102,1
103,6
104,8
105,5
106,3
107,9
108,4
109,7
110,2
111,6
112,1
113,2
114,9
115,3
116,7
117,4
118,10
119,5
120,8
121,3
122,2
123,7
124,1
125,8
126,8
127,2
128,9
129,6
130,4
131,5
132,7
133,1
134,3
135,10
136,4
137,10
138,8
139,2
140,6
141,5
142,1
143,9
144,7
145,3
146,10
147,8
148,6
149,3
150,9
151,10
152,2
153,6
154,9
155,3
156,8
157,7
158,1
159,4
160,5
161,4
162,6
163,1
164,8
165,9
166,2
167,5
168,10
169,3
170,7
171,4
172,7
173,1
174,8
175,2
176,9
177,10
178,4
179,6
180,2
181,3
182,8
183,7
184,1
185,5
186,2
187,9
188,10
189,4
190,6
191,3
192,5
193,7
194,8
195,1
196,10
197,5
198,4
199,7
200,3
1,10
2,1
3,6
4,7
5,9
6,5
7,4
8,8
9,3
10,2
11,10
12,8
13,3
14,2
15,4
16,6
17,1
18,5
19,7
20,9
21,1
22,6
23,7
24,10
25,2
26,9
27,1
28,5
29,2
30,3
31,7
32,8
33,10
34,4
35,6
36,3
37,4
38,9
39,2
40,7
41,10
42,1
43,8
44,5
45,6
46,2
47,1
48,5
49,10
50,7
51,2
52,4
53,3
54,1
55,8
56,7
57,10
58,9
59,5
60,6
61,8
62,6
63,9
64,10
65,1
66,5
67,3
68,7
69,2
70,4
71,1
72,6
73,3
74,8
75,9
76,6
77,5
78,7
79,3
80,8
81,1
82,2
83,9
84,4
85,10
86,1
87,7
88,8
89,4
90,10
91,5
92,3
93,2
94,9
95,6
96,1
97,9
98,3
99,6
100,2
101,10
102,9
103,4
104,2
105,7
106,5
107,6
108,1
109,3
110,8
111,4
112,7
113,10
114,5
115,8
116,6
117,2
118,9
119,1
120,3
121,5
122,10
123,9
124,6
125,1
126,4
127,5
128,6
129,1
130,9
131,2
132,8
133,7
134,3
135,10
136,1
137,10
138,9
139,8
140,3
141,2
142,7
143,5
144,4
145,6
146,2
147,3
148,1
149,6
150,8
151,6
152,5
153,4
154,8
155,2
156,10
157,7
158,1
159,9
160,3
161,7
162,1
163,8
164,3
165,9
166,6
167,4
168,5
169,2
170,10
171,9
172,5
173,8
174,7
175,6
176,5
177,8
178,1
179,2
180,3
181,6
182,4
183,9
184,7
185,10
186,7
187,10
188,5
189,8
190,1
191,9
192,4
193,2
194,6
195,3
196,6
197,7
198,2
199,9
200,10
1,5
2,3
3,7
4,1
5,2
6,6
7,9
8,8
9,4
10,10
11,9
12,5
13,4
14,6
15,3
16,8
17,2
18,1
19,10
20,7
21,9
22,6
23,3
24,5
25,4
26,10
27,5
28,4
29,7
30,6
31,9
32,8
33,2
34,1
35,3
36,6
37,4
38,7
39,9
40,10
41,5
42,3
43,1
44,8
45,2
46,6
47,9
48,4
49,3
50,7
51,2
52,5
53,6
54,9
55,4
56,7
57,8
58,1
59,10
60,3
61,2
62,3
63,6
64,10
65,9
66,5
67,7
68,1
69,8
70,4
71,3
72,2
73,10
74,8
75,4
76,1
77,9
78,6
79,3
80,8
81,4
82,10
83,2
84,5
85,7
86,6
87,3
88,5
89,1
90,2
91,7
92,9
93,8
94,10
95,4
96,7
97,10
98,6
99,2
100,1
