id,book_id,school_id,copies
1,1,1,2
2,2,2,3
3,3,3,8
4,4,4,11
5,5,5,15
6,6,1,6
7,7,2,14
8,8,3,9
9,9,4,15
10,10,5,4
11,11,1,14
12,12,2,8
13,13,3,13
14,14,4,15
15,15,5,11
16,16,1,2
17,17,2,1
18,18,3,1
19,19,4,6
20,20,5,2
21,21,1,2
22,22,2,3
23,23,3,2
24,24,4,8
25,25,5,11
26,26,1,10
27,27,2,14
28,28,3,2
29,29,4,6
30,30,5,10
31,31,1,5
32,32,2,2
33,33,3,6
34,34,4,2
35,35,5,15
36,36,1,15
37,37,2,10
38,38,3,15
39,39,4,14
40,40,5,10
41,41,1,9
42,42,2,14
43,43,3,3
44,44,4,4
45,45,5,11
46,46,1,2
47,47,2,3
48,48,3,14
49,49,4,10
50,50,5,15
51,51,1,9
52,52,2,15
53,53,3,2
54,54,4,3
55,55,5,13
56,56,1,2
57,57,2,2
58,58,3,15
59,59,4,11
60,60,5,15
61,61,1,9
62,62,2,4
63,63,3,3
64,64,4,7
65,65,5,15
66,66,1,3
67,67,2,2
68,68,3,9
69,69,4,10
70,70,5,1
71,71,1,12
72,72,2,3
73,73,3,5
74,74,4,6
75,75,5,13
76,76,1,12
77,77,2,12
78,78,3,1
79,79,4,15
80,80,5,2
81,81,1,6
82,82,2,13
83,83,3,15
84,84,4,7
85,85,5,9
86,86,1,13
87,87,2,11
88,88,3,3
89,89,4,10
90,90,5,8
91,91,1,6
92,92,2,11
93,93,3,2
94,94,4,3
95,95,5,6
96,96,1,15
97,97,2,15
98,98,3,13
99,99,4,5
100,100,5,14
101,101,1,15
102,102,2,10
103,103,3,8
104,104,4,10
105,105,5,1
106,106,1,2
107,107,2,14
108,108,3,9
109,109,4,5
110,110,5,14
111,111,1,10
112,112,2,8
113,113,3,8
114,114,4,6
115,115,5,7
116,116,1,1
117,117,2,4
118,118,3,5
119,119,4,10
120,120,5,7
121,121,1,9
122,122,2,1
123,123,3,11
124,124,4,2
125,125,5,4
126,126,1,1
127,127,2,11
128,128,3,5
129,129,4,14
130,130,5,9
131,131,1,15
132,132,2,7
133,133,3,7
134,134,4,14
135,135,5,7
136,136,1,2
137,137,2,3
138,138,3,10
139,139,4,13
140,140,5,6
141,141,1,11
142,142,2,7
143,143,3,11
144,144,4,12
145,145,5,8
146,146,1,14
147,147,2,3
148,148,3,11
149,149,4,6
150,150,5,12
151,151,1,9
152,152,2,14
153,153,3,4
154,154,4,8
155,155,5,6
156,156,1,1
157,157,2,4
158,158,3,14
159,159,4,15
160,160,5,13
161,161,1,4
162,162,2,7
163,163,3,1
164,164,4,9
165,165,5,14
166,166,1,3
167,167,2,9
168,168,3,15
169,169,4,2
170,170,5,15
171,171,1,4
172,172,2,15
173,173,3,9
174,174,4,4
175,175,5,10
176,176,1,8
177,177,2,2
178,178,3,10
179,179,4,5
180,180,5,9
181,181,1,4
182,182,2,10
183,183,3,5
184,184,4,8
185,185,5,10
186,186,1,2
187,187,2,9
188,188,3,5
189,189,4,3
190,190,5,7
191,191,1,10
192,192,2,9
193,193,3,5
194,194,4,4
195,195,5,10
