id,user_id,book_id,opinion,stars,is_active
1,111,44,The writing style was beautiful and poetic.,5,0
2,15,127,I found the plot to be predictable.,2,1
3,68,150,It was a bit slow in the beginning,4,1
4,89,27,I found the plot to be predictable.,1,0
5,187,161,I loved this book!,1,1
6,117,167,The characters were so well-developed.,3,1
7,183,46,The characters were so well-developed.,2,1
8,185,8,This book wasn't really my cup of tea.,5,0
9,55,95,but it picked up towards the end.,2,1
10,138,173,I found the plot to be predictable.,2,0
11,28,49,I loved this book!,3,0
12,125,176,but it picked up towards the end.,4,1
13,164,47,I loved this book!,2,1
14,179,52,This book wasn't really my cup of tea.,4,1
15,69,188,This book was a page-turner!,4,1
16,49,166,The characters were so well-developed.,2,0
17,10,2,I couldn't put it down!,1,1
18,65,1,It was a bit slow in the beginning,4,1
19,53,72,I found the plot to be predictable.,2,0
20,9,63,This book was a page-turner!,3,1
21,36,32,The writing style was beautiful and poetic.,4,0
22,60,58,I was disappointed with the ending.,4,0
23,64,172,The writing style was beautiful and poetic.,2,0
24,98,182,I would definitely recommend this book to others.,3,1
25,80,14,The writing style was beautiful and poetic.,5,1
26,16,61,I would definitely recommend this book to others.,1,1
27,99,148,I found the plot to be predictable.,1,0
28,168,34,This book was a page-turner!,5,0
29,156,147,The characters were so well-developed.,5,1
30,145,11,This book was a page-turner!,1,1
31,59,111,The characters were so well-developed.,4,0
32,80,92,It was a bit slow in the beginning,2,1
33,30,45,I couldn't put it down!,1,1
34,48,84,I couldn't put it down!,1,0
35,131,101,The characters were so well-developed.,3,0
36,86,113,The characters were so well-developed.,5,0
37,41,165,I loved this book!,5,0
38,165,116,I was disappointed with the ending.,1,0
39,125,124,I loved this book!,4,1
40,51,182,but it picked up towards the end.,2,1
41,39,51,This book wasn't really my cup of tea.,1,0
42,199,8,I would definitely recommend this book to others.,4,1
43,152,67,I would definitely recommend this book to others.,2,1
44,144,166,I would definitely recommend this book to others.,4,1
45,87,85,I found the plot to be predictable.,1,0
46,14,38,I was disappointed with the ending.,4,0
